@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute outputs-1 {0,1,2,3,4,5,6,7,8,9,10}

@data
76,'2016/07/31 16:11:44:931',2,3.779028,2028.157349,-46.062622,16.526415,-5.002131,3.8627,-0.329062,-4.626522,-0.718619,2.027791,-0.516643,2.286197,-0.546505,-2.351783,1.177629,-2.247879,0.147021,0.259879,-1.130177,0.019387,-0.871991,1.023933,0.988332,-0.085268,0.049373,0.313429,1
77,'2016/07/31 16:11:44:941',2,4.383966,1930.616577,-45.795597,15.659804,-5.190727,4.155615,-0.740641,-4.855985,-2.261873,1.367151,-0.620439,2.413916,-0.243086,-1.914086,1.357531,-2.462361,0.424257,0.73173,-0.640145,0.492663,-0.893411,0.692357,0.916236,-0.150382,0.35103,0.486967,1
78,'2016/07/31 16:11:44:951',2,5.829638,1993.79187,-44.254707,15.198895,-4.858295,3.867183,-1.01667,-5.064258,-1.997332,2.426235,0.157626,2.841846,-0.194217,-2.754026,1.569234,-2.578685,0.585873,-0.183882,-0.989143,-0.09117,-0.909554,0.845176,0.885024,-0.312588,0.058772,0.400608,1
79,'2016/07/31 16:11:44:961',2,4.462752,1895.816895,-46.092102,15.136218,-5.713829,3.745214,-0.794559,-4.953295,-2.730622,1.78704,-0.527446,2.155834,0.170623,-2.126667,1.254133,-2.435686,0.204873,0.633253,-0.541334,0.354767,-0.658429,0.623428,0.563164,-0.3182,0.364178,1.06753,1
80,'2016/07/31 16:11:44:971',2,4.921923,1899.280884,-45.938953,14.990165,-5.558945,3.919718,-0.059404,-5.243385,-2.330617,1.537932,0.097148,2.170551,0.21373,-1.834641,1.381069,-2.43748,0.607273,-0.407358,-1.238943,-0.153293,-1.035719,0.957488,0.838294,-0.843579,0.227775,0.15377,1
81,'2016/07/31 16:11:44:981',2,3.333271,2041.059814,-50.183323,15.169006,-5.374687,4.159009,0.309989,-5.916841,-1.988878,1.619459,-1.170789,2.190649,0.412278,-1.734756,1.303505,-1.976342,-0.50042,-0.049325,-1.285485,-0.165385,-0.356935,1.099513,1.542568,-0.283145,-0.362109,0.364062,1
82,'2016/07/31 16:11:44:991',2,3.863407,2083.012695,-48.620907,15.768615,-5.018943,3.897284,0.231615,-4.961771,-1.662891,1.333987,-1.08761,1.639242,0.746264,-1.075486,1.330381,-2.044106,0.340427,0.650862,-0.993253,0.03154,-0.786168,0.311724,1.243073,-0.034495,-0.053468,0.05391,1
83,'2016/07/31 16:11:45:001',2,4.391593,1881.540405,-49.751987,16.176382,-4.453519,3.853894,0.058732,-5.378688,-1.074616,2.311004,-0.33606,1.79646,-0.116641,-1.319014,0.87588,-2.102952,-0.356866,0.260725,-0.780541,-0.193417,-0.882219,0.533328,1.657195,0.146811,-0.009189,-0.003336,1
84,'2016/07/31 16:11:45:011',2,4.158659,1831.819336,-50.456089,16.615496,-4.919657,3.386876,0.425823,-5.097754,-0.910717,0.805072,-2.018107,0.833304,0.133486,-0.886794,1.516838,-1.174415,-0.260525,0.263097,-1.151176,-0.007415,-0.255071,0.3739,1.154611,-0.183428,-0.152163,-0.020382,1
85,'2016/07/31 16:11:45:021',2,4.041147,1825.019775,-48.347187,16.644083,-5.684776,3.250187,0.928988,-5.154537,-1.098734,1.498988,-0.508676,1.622998,-0.127063,-1.614606,1.311165,-1.622043,0.180288,0.258172,-1.507583,-0.412468,-0.722312,0.66696,0.85686,-0.379209,-0.31091,0.331255,1
86,'2016/07/31 16:11:45:031',2,4.067064,1635.645874,-50.891953,16.833963,-4.804488,3.118733,0.945508,-4.189056,-1.375045,0.784002,-1.028973,0.652214,-0.594762,-1.233738,1.590844,-0.706026,0.473339,0.083816,-1.193718,-0.095044,-0.662456,0.841711,0.780097,-0.186015,0.216876,0.337909,1
87,'2016/07/31 16:11:46:261',2,9.56717,2760.523438,-95.716667,0,-0.000001,0.000002,-0.000005,-0.000004,-0.000005,0.000003,0.00001,-0.000002,-0.000001,-0.000001,-0.000009,-0.000003,0,0,0.000009,-0.000018,0,-0.000003,-0.000023,0.000003,0,-0.000017,1
88,'2016/07/31 16:11:46:271',2,9.972804,2405.328125,-95.681862,0.029621,0.01871,0.009156,0.003571,0.001938,0.002615,0.003107,0.002558,0.001436,0.000573,0.000575,0.000637,0.000034,-0.000396,-0.000293,-0.000205,-0.000089,0.000289,0.000502,0.000341,0.000073,0.000024,0.00012,1
89,'2016/07/31 16:11:46:281',2,4.191023,2414.628418,-69.841599,12.261562,0.375291,3.63753,-0.44618,-4.448875,1.145956,2.158787,0.926036,2.475849,-0.222923,-1.924263,0.096644,-1.01803,-0.662161,0.685819,-1.078153,-1.316694,-0.267083,0.192483,1.006939,0.223143,-0.459036,0.713509,1
